Record Id	Institute Abbreviation	Randomization Id	Randomization Group	Randomized On	Record Creation Date	debrief_1	debrief_2	debrief_3	debrief_4	EXCLUDE?	debrief_5	debrief_6	debrief_7	debrief_8_1._Ik_wilde_de_totale_hoeveelheid_muntjes_gelijk_verdelen_over_de_investeerder_en_mijzelf._Punten_bij_elkaar_opgeteld_precies_100_	debrief_8_2._Ik_wilde_de_hoeveelheid_muntjes_geven_die_de_investeerder_terugverwachtte._Punten_bij_elkaar_opgeteld_precies_100_	debrief_8_3._Ik_wilde_zo_veel_mogelijk_van_de_investering_zelf_houden._Punten_bij_elkaar_opgeteld_precies_100_	debrief_8_4._Ik_wilde_zo_veel_mogelijk_van_de_investering_terug_geven._Punten_bij_elkaar_opgeteld_precies_100_	otherStrat	otherStratPoints	debrief_8_5._Anders,_namelijk_geef_beschrijving_en_aantal_punten_op_:_Punten_bij_elkaar_opgeteld_precies_100_	debrief_9	debrief_10	debrief_11
110068	DCCN				23-06-17 15:14	Prima.	Ja, ik begreep alles	Redelijk leuk.	Bij de eerste taak wel nabij het einde van de tweede ronde.		Ja.	Nee.	Doordat ik te weinig geld terug betaakde,	20	50	15	15				Ja, minder teruggeven	Nee	Nee. Ik vond het een leuk experiment en success met het analyseren van de data.
110069	DCCN				26-06-17 11:00	goed	ja	beetje routine, saai op termijn.	Ja		Ja	Nee	Niet schuldig gevoeld	80	5	7.5	7.5			0	Nee	Nee	Nee
110070	DCCN				26-06-17 12:47	Wel oke, lasting inschatten, je doet eigenlijk maar wat	Ja	Nee	Een beetje in de 2e ronde van taak 1		Redelijk. Misschien niet in de rondes dat ik minder munten kreeg dan hun denken	Nee	Als ik weinig munten terug gaf, omdat ik minder munten kreeg dan de andere deelnemers denken	10	30	35	25				Ik ben iets minder gaan terug geven toen ik besefte dat de andere deelnemers soms meer munten over hielden dan ik zelf, aangezien ze zelf soms nog munten over hadden.	Ik wilde door de andere factor minder muten terug geven, wat wel wat meer schuldgevoel gaf	nee
110071	DCCN				29-06-17 09:17	goed	ja	ja	beetje vermoeid		ja	nee	niet	80	5	10	5			0	-	-	-
110072	DCCN				29-06-17 11:43	Goed, denk ik? Ik weet niet precies hoe dit ''goed'' kan gaan, maar ik heb er wel een ok'e gevoel over.	Ja	Matig, het was uiteindelijk wat saai	Ja		Nee	Nee	dat ik ze wat weinig terug gaf	10	10	60	20				Ik gaf  terug wat het decimal aangaf, naar boven afgerond, dus bij 38 > 4, 24 > 2	Nee	Nee
110073	DCCN				29-06-17 12:45	Goed.	Ja	Ja	Ja, maar pas aan het eind.		Ik denk dat ze tevreden zijn, zolang ze niet weten dat ze er minder aan hebben over gehouden dan ik.	Nee.	Dat ik veel muntjes voor mezelf hield. Vooral bij de grote hoeveelheden.	20	30	30	10				Wanneer ik meerdere malen grotere hoeveelheden kreeg, ging ik meer teruggeven.	Nee.	Nee.
110074	DCCN				29-06-17 13:30	Redelijk goed	ja	ja opzich wel	ja op het laatste wel, vooral aan het eind van taak 1		nee	nee	heel klein beetje soms omdat ze een hoge investering hadden gedaan in mij maar ik hen nauwelijks of niets terug gaf	10	10	50	0	returnInvestment	30	ik wilde de investeerder zijn ingelegde muntjes teruggeven. 30 punten	nee	nee	nee
110075	DCCN				29-06-17 14:31	Goed.	Ja, alles was duidelijk.	Prima om te doen.	Klein beetje vermoeid.		Soms wel, soms niet.	Nee.	Doordat ik minder muntjes teruggaf dan misschien helemaal eerlijk geweest zou zijn.	40	20	20	20				Soms wat meer gegeven dan eerlijk zou zijn, omdat person A dit zou verwachten, maar vaak heb ik dit ook niet gedaan.	Nee	Nee
110076	DCCN				03-07-17 10:01	Goed. De verdeel balk van taak 1 was wel lastig te besturen soms.	ja	ja	een beetje		ja	nee	Doordat ik het schuifje soms niet goed verschoof of te snel op spatie drukt. Speler A kreeg dan niet genoeg muntjes.	100	0	0	0			0	Ik vond het steeds vervelender als speler A een klein bedrag gaf. Daardoor ging ik op den duur als de vermenigvuldiging hoger uit viel dit niet uit betalen, omdat de speler verwacht kon hebben dat ik minder muntjes kreeg dan dat hij/zij zou houden.	Nee	Nee
110077	DCCN				03-07-17 11:01	Redelijk, ik vond het lasting om soms in te schatten wat een ander zou doen in dezelfde situatie.	Jawel, ik begreep alles wel. Ben alleen niet zo snel in hoofdrekenen dus dat was soms wel lastiger, om snel te bepalen wat je een andere speler terug wilde geven.	Semi-leuk, je zit toch een tijd naar een beeldscherm te staren, maar het was ook niet vervelend.	Vermoeid wel een beetje, door de repetitieve taak.		De een meer dan de ander gok ik zo.	Nee.	Wanneer ik minder gaf, terwijl de factor hoger was dan dat de andere speler wist. En gewoon wanneer ik sowieso minder gaf dan de helft van wat ik zelf kreeg.	30	20	0	0	advantageousEquity	50	50 -- Ongeveer de helft, met een paar extra voor mij.	Ja, soms ben ik gewoon gewisseld van strategie zonder echte reden.	Nee.	Nee.
110078	DCCN				03-07-17 14:37	Wel redelijk geloof ik.	Ja.	Nee.	Nee.		Ja.	Nee.	Omdat ik iemand net zo veel terug gaf als dat hij/zij geinvesteerd had.	0	10	0	10	reciprocity	80	"80  Ik wilde de investeerder ""belonen"" wanneer hij/zij meer dan de helft investeerde"	Ja. Eerst gaf ik de mensen die veel investeerden minder dan later.	Nee.	Nee.
110079	DCCN				03-07-17 15:17	Prima voor mijn gevoel	Ja	De spelvormen in het begin wel, de vragenlijsten minder	Bij het laatste deel van de vragenlijsten een beetje		Nee	Nee	Omdat ik zelf te veel geld heb genomen	10	20	60	10			0	Nee	Ja ik voelde me soms schuldig omdat ik te veel gehouden heb naar mijn idee	Nee
110080	DCCN				03-08-17 09:11	prima	ja	ja, het was niet saai of vervelend. er was genoeg afwisseling	nee		sommige wel, sommige niet	nee	doordat ik teweinig terug gaf	55	25	30	0				ja, ik dacht dat we beide het zelfde hadden maar ik had niet helemaal rekening gehouden met dat de persoon ook nog de muntjes kreeg die hij niet had geinvesteerd... dus dan hadden we niet het zelfde maar had speler A 50% van mijn muntjes + de overgebleven investering	nee	nee
110081	DCCN				03-08-17 10:02	Goed, denk ik. Moeilijk in te schatten	ja	ja	nee		ja	nee	nee	50	10	10	30			0	Eerst verdeelde ik gelijk, later iets ongelijk	nee	nee
110082	DCCN				03-08-17 11:05	goed	ja	langdradig	na een tijd enig verveelt		denk het wel	nee	geen schuldgevoel gehad	9	10	70	1			0	ja maar meer op gevoel	nee	nee
110083	DCCN				04-08-17 09:59	Wel prima. Geen geld teruggegeven.	Ja.	Na verloop van tijd wordt het saai.	Ja.		Nee.	Nee.	Voelde mij niet schuldig.	0	0	100	0			0	Nee.	Nee.	Nee.
110084	DCCN				04-08-17 10:59	Wel prima	Ja	Wel redelijk	Ja		Ze hopen natuurlijk allemaal op het aller hoogste bedrag. Maar ik heb het zo eerlijk mogelijk proberen te verdelen. Ik denk wel dat de mensen die dachten dat ik een multiplyer van 6 had, waar ik eigenlijk maar 4 had (of 4 en eigenlijk 2) wel teleurgesteld zullen zijn want het lijkt alsof ik het heel oneerlijk (naar mijn eigen hand) heb verdeeld	Nee	Omdat als de helft van het totale geld op iets,5 lag, dan ronde ik soms naar beneden af. En als ik een multiplyer van 8 had, waar speler a dacht dat het 6 was, dan wilde ik het nog wel eens verdelen naar de eerlijkheid als ik 6 had (in plaats van 8). Maar dat weten die mensen toch niet, dus ze kunnen alleen maar blij zijn.	60	5	5	30			0	Nee	Ja	Intresant proefje! Succes ermee nog.
110085	DCCN				07-08-17 09:57	Redelijk tot goed	Ja	niet heel leuk, maar prima omdat er geld mee te verdienen valt	Ja		Nee	Nee	Waarschijnlijk dat je een persoon die veel had geinvesteerd weinig of niks terug gaf.	10	10	60	20			0	Nee	Nee	NVT
110086	DCCN				07-08-17 10:47	goed	ja	ja	nee		ja	nee	omdat ik soms weinig terug gaf, met name wanneer de mogelijke winst groot was	20	30	40	10			0	ja, bij een lagere vermenigvuldigingsfactor ben ik steeds minder gaan teruggeven	nee	nee
110087	DCCN				07-08-17 11:43	goed, geen problemen mee. Goede uitleg op papier	ja	makkelijk om concentratie erbij te houden, pauze was fijn en dat er van tevoren aangegeven hoeveel opdrachten het zouden worden	nee		ja	nee	nee	40	80	30	10				nee	nee	nee
110088	DCCN				07-08-17 12:31	goed	ja	best wel, na een tijdje werd het wel saai	ja aan het eind		ja	nee	teveel muntjes zelf houden	30	20	40	10				nee	nee	nee
110089	DCCN				07-08-17 13:32	Duidelijke taak, overzichtelijk vormgegeven	Ja	Neutraal	Vermoeid van de vragen na taak 1		Redelijk	Nee	Te weinig geld teruggegeven	35	30	30	5				Nee	Nee	Nee
110090	DCCN				07-08-17 14:17	Het ging wel goed, al had ik het idee dat ik vaker een kleinere verdeling kreeg (dus 2 ipv 4, of 4 ipv 6) waardoor Speler A wellicht ten onrechte dacht dat ik te weinig terug gaf.	Ja	Ja	Nee		In principe wel, tenzij ik een lagere verdeelsleutel kreeg.	Nee	Nvt	75	25	0	0			0	Nee	Nee	Nee
110091	DCCN				08-08-17 10:42	Prima	Ja	Jawel	Nee		Nee	Nee	nvt			100					Nee	Nee	Nee
110092	DCCN				08-08-17 13:30	Goed, denk ik. Kreeg wel pas laat door hoe ik het echt 'slim' kon spelen	Ja	In het begin wel, daarna werd het een beetje saai	Ja		Ja	Nee	Niet van toepassing	30	25	40	5			0	Ja, ik ging meer nadenken over hoeveel muntjes de investeerder nog had, daar stond ik eerder niet bij stil	Nee	De schuifbalk werkte soms niet goed, waardoor het heel moeilijk was om een bepaald getal te selecteren
110093	DCCN				09-08-17 09:17	Prima	Ja	Ik heb veel andere taken/onderzoeken gedaan die veel saaier waren dan deze	Een beetje maar		Ja, ze hebben in elke situatie 'winst' gemaakt	Nee	Dat ik meer winst kreeg dan zij	25	70	5	0			0	Ja, ik heb na enkele beurten een vaste strategie bepaald	Nee	Nee
110094	DCCN				10-08-17 10:02	goed	ja	leuk is een groot woord, maar het was neit vervelend. De 2 langste taken verveelden wel op het einde	ja, zie vraag hierboven		de meeste wel	nee	doordat ik dacht ' GELD' en heel zelden alles zelf heb gehouden. Dat vond ik gerechtigd als de ander mij maar 1 of 2 muntjes gunde, maar 1x was ik hebberig en heb ik een grotere hoeveelheid zelf gehouden	30	7	20	3	reciprocity	40	ik wilde de investeerder belonen voor zijn vertrouwen en investeerders die geen vertrouwen hebben, een soort van afstraffen. Punten: 40	niet echt	ja, in de situaties dat er aan lagere factor was dan de investeerders dachten. Ik wilde ze graag veel teruggeven, maar dat ging niet zonder zelf op 0 te eindigen	nee
110095	DCCN				10-08-17 11:02	Volgens mij ging alles wel goed.	Ja.	Niet echt eerlijk gezegd.	Een beetje.		Nee.	Nee.	Als ik Speler A was geweest had ik gehoopt op een eerlijke verdeling van de muntjes. Met eerlijk bedoel ik ieder de helft van de muntjes.	0	0	100	0			0	Nee.	Nee.	Nee.
110096	DCCN				10-08-17 11:47	Volgens mij het goed.	Ik begreep alles over het spel.	De taken waren leuk omdat je gaat denken hoe de ander zou reageren.	Ik raakte niet moe gedurende het spel.		Ik denk dat dit wisselend zal zijn.	Nee.	Ik voelde me niet schuldig.	30	30	20	20				Ja, naderhand ging ik percentages uitrekenen hoeveel persoon A in mij had geinvesteerd. Dit bepaalde hoeveel ik aan Persoon A ging terguggeven.	Nee, had ik geen moeite mee.	Nee.
110097	DCCN				14-08-17 10:02	Best goed, in het begin was ik soms wat langzaam in het rekenen (om te weten wat een precies eerlijke verdeling is). Daar werd ik tijdens het experiment wel steeds beter in.	Volgens mij wel	Ik vond het best leuk om de muntjes eerlijk te verdelen, of soms juist niet als iemand mij weinig muntjes had gegeven (ik was speler B). Je moet wel vaak dezelfde handeling doen, dat maakt het wat eentoniger.	Een paar keer lette ik eventjes niet goed genoeg op en was ik te laat met het balkje op de juiste plek zetten, maar 95% van de tijd lette ik wel goed op.		Ja, de meesten wel. Sommige heb ik net iets minder dan de helft van het uiteindelijke aantal muntjes gegeven, maar niet heel unfair.	Nee	Als het al zo was, dan omdat ik net een paar muntjes meer had dan speler A.	90	0	10	0				nee	nee	nee
110098	DCCN				15-08-17 09:55	goed	het was duidelijk	ja	na een tijdje wel		ja	nee	omdat je weinig geld terug gaf	30	30	30	10				nee	het was even wennen	nee
110099	DCCN				15-08-17 10:43	Goed	Ja	Sure	Op een gegeven moment was het veel van hetzelfde		Tevreden niet, maar ze zullen zich niet helemaal genaaid voelen.	Nee	nvt	0	0	80	50				Nietcht	Nee	Nee
110100	DCCN				15-08-17 12:32	Goed. Ik vond het alleen lasting om een bepaald system te bedenken voor het verdelen en teruggeven van geld	ja	ja	een beetje na de pauze van de tweede helft van taak 1		ja	nee	nvt	55	15	30	0				Ik wilde naar verhouding van hoeveel er geinvesteerd was een bedrag teruggeven	nee	nee
110101	DCCN				15-08-17 14:16	ik vond het lastig om consequent te blijven en niet helemaal op mijn gevoel af te gaan.	ja.	ja, omdat je weet dat er ook andere spelers bij betrokken zijn	een beetje		nee, die willen vast meer.	nee, niet mogelijk	dat ik iets meer nam dan gaf.	30	30	25	15			0	ja, ik denk dat ik in de loop van het spel iets meer voor mezelf hield.	nee	nee
110102	DCCN				15-08-17 15:23	Prima	Ja	Ja	Nee		Nee	Nee	Ik voelde mij niet schuldig	0	0	100	0			0	nee	nee	nee
110103	DCCN				16-08-17 10:57	Het ging goed	Ik snapte niet zo goed of het nou beter was om de keuze voor jezelf te maken of dat je slim na moest denken over wat slim is voor de ander ivm wat zij voor jou doen	Ja	Nee		Ja	Nee	Had ik niet	20	20	50	10				nee	nee	nee
110104	DCCN				16-08-17 13:30	Goed	Ja	Op een gegeven moment werd het wat saai	Verveeld ja, vermoeid nee		Ja	Nee	Ik heb me niet schuldig gevoeld	40	40	15	5				Hoe minder er te verdelen was, hoe gieriger ik werd met het teruggeven van geld.	Het was even switchen ja, maar dat ging wel goed.	Nee
